;nombre_video;fecha_publicacion;visualizaciones;tiempo_de_visualizacion_(horas);suscriptores;tus_ingresos_estimados_(usd);impresiones;porcentaje_de_clics_de_las_impresiones_(%);nombre_video_original;info_videos;duracion_video;page_links;id;dateCreated;likes;dislikes;rating;viewCount;Tema;Cant_Recomendaciones;Tiempo_Recomendación1;Tiempo_Recomendación2;Tiempo_Recomendación3;minutos_recom1;minutos_recom2;minutos_recom3;Publicidad_inicio;Publicidad_fin;Cant_Publicidad_durante;Tiempo_Publicidad_1;Tiempo_Publicidad_2;Tiempo_Publicidad_3;Tiempo_Publicidad_4;Tiempo_Publicidad_5;Tiempo_Publicidad_6;Tiempo_Publicidad_7;Tiempo_Publicidad_8;Polarity;minutos_publi1;minutos_publi2;minutos_publi3;minutos_publi4;minutos_publi5;minutos_publi6;minutos_publi7;minutos_publi8;fecha_publicacion_ff;dia_semana_str;dia_semana;duracion_video_minutos;duracion_video_segundos;duracion_video_horas;porc_visualizacion;marca_exito;marca_exito2;rangos_duracion_video;rangos_Cant_Publicidad;rangos_Cant_Recomendaciones;consecutivo_tema;Cantida Publicidad;Cantida Recomendacion;Duracion Minutos;Densidad_Publicitaria;Densidad_Recomendacion;porc_min_recom1;porc_min_recom2;porc_min_recom3;porc_min_publi1;porc_min_publi2;porc_min_publi3;porc_min_publi4;porc_min_publi5;porc_min_publi6;porc_min_publi7;porc_min_publi8
17;✅ APRENDE a REEMPLAZAR el COLOR de IMÁGENES (Bien Explicado 💚 ) ▷ CorelDRAW 2021 👉🏼 DelcaVideography de DelcaVideography;20210419;17952;1332.1262;120;20.743;167172;6.29;✅ APRENDE a REEMPLAZAR el COLOR de IMÁGENES (Bien Explicado 💚 ) ▷ CorelDRAW 2021 👉🏼 DelcaVideography de DelcaVideography;1 año 23 minutos 17,016 visitas;00:23:24;https://www.youtube.com/watch?v=pyRbyr-YEl0;pyRbyr-YEl0;2022-02-02T11:31:00.84553Z;191;5;4.897959184;8709;Técnicas CorelDraw;3;00:23:03.000006;00:23:08.000011;00:23:14.000012;23.05;23.13333333;23.23333333;1;1;6;00:03:34.000009;00:08:08.000019;00:13:17.000020;00:17:40.000015;00:21:07.000023;00:23:08.000001;;;;3.566666667;8.133333333;13.28333333;17.66666667;21.11666667;23.13333333;;;2021-04-19 00:00:00;Monday;0;23.4;24;0.396666667;0.187071153;0;1;;(4.0, 8.0];3.0;16;6;3;23.8;0.252;0.126;0.968487395;0.971988796;0.976190476;0.149859944;0.341736695;0.558123249;0.742296919;0.887254902;0.971988796;;
18;✅ Las 5 formas MÁS PRODUCTIVAS de EXPORTAR en CorelDRAW 2021 ⚙️ (TUTORIAL Bien Explicado 💚) de DelcaVideography;20210412;2253;172.9071;5;3.272;51608;2.71;✅ Las 5 formas MÁS PRODUCTIVAS de EXPORTAR en CorelDRAW 2021 ⚙️ (TUTORIAL Bien Explicado 💚) de DelcaVideography;1 año 21 minutos 2,141 visitas;00:21:00;https://www.youtube.com/watch?v=Z42jLF2utFU;Z42jLF2utFU;2022-01-21T00:32:50.843913Z;41;0;5;1009;Herramientas CorelDraw;3;00:20:39.000021;00:20:45.000002;00:20:51.000003;20.65;20.75;20.85;1;1;4;00:02:26.000009;00:07:04.000005;00:13:29.000002;00:17:47.000002;;;;;;2.433333333;7.066666667;13.48333333;17.78333333;;;;;2021-04-12 00:00:00;Monday;0;21;0;0.35;0.219272208;0;0;;(2.0, 4.0];3.0;7;4;3;21;0.19;0.143;0.983333333;0.988095238;0.992857143;0.115873016;0.336507937;0.642063492;0.846825397;;;;
19;✅ Respondo 👉🏼 las 10 PREGUNTAS MÁS FRECUENTES sobre Corel DRAW ▶ DelcaVideography de DelcaVideography;20210223;5227;548.0251;19;13.314;68965;2.55;✅ Respondo 👉🏼 las 10 PREGUNTAS MÁS FRECUENTES sobre Corel DRAW ▶ DelcaVideography de DelcaVideography;1 año 24 minutos 5,009 visitas;00:24:39;https://www.youtube.com/watch?v=XDmzkfD6vJg;XDmzkfD6vJg;2022-03-03T14:04:15.58141Z;112;6;4.796610169;3221;Preguntas Frecuentes CorelDraw;2;00:24:24.083333;00:24:24.083333;;24.4;24.4;;1;1;5;00:03:35;00:08:10;00:09:39;00:16:23;00:23:16;;;;;3.583333333;8.166666667;9.65;16.38333333;23.26666667;;;;2021-02-23 00:00:00;Tuesday;1;24.65;39;0.421666667;0.248644398;0;0;;(4.0, 8.0];2.0;12;5;2;25.3;0.198;0.079;0.964426877;0.964426877;;0.141633729;0.322793149;0.381422925;0.647562582;0.919631094;;;
20;✅ USA estas TÉCNICAS de DIBUJO para DISEÑAR como PRO 😎 en CorelDRAW ► TUTORIAL;20211117;2475;131.3804;19;4.996;87214;1.23;✅ USA estas TÉCNICAS de DIBUJO para DISEÑAR como PRO 😎 en CorelDRAW ► TUTORIAL;11 meses 9 minutos y 5 segundos 2,478 visitas;00:09:05;https://www.youtube.com/watch?v=7HXsIyciyG0;7HXsIyciyG0;2022-01-21T08:08:50.145384Z;184;3;4.935828877;1869;Técnicas CorelDraw;3;00:08:45.000005;00:08:47.000006;00:08:49.000009;8.75;8.783333333;8.816666667;1;1;2;00:04:42.000014;00:07:03.000013;;;;;;;0.491666667;4.7;7.05;;;;;;;2021-11-17 00:00:00;Wednesday;2;9.083333333;5;0.152777778;0.347452298;1;0;(0.0, 0.169];(0.0, 2.0];3.0;16;2;3;9.166666667;0.218;0.327;0.954545455;0.958181818;0.961818182;0.512727273;0.769090909;;;;;;
21;✍🏼 Si APRENDES esta TÉCNICA puedes CREAR LOGOS como un PRO ▶ TUTORIAL CorelDRAW;20220614;1282;113.4128;6;2.329;29293;2.63;✍🏼 Si APRENDES esta TÉCNICA puedes CREAR LOGOS como un PRO ▶ TUTORIAL CorelDRAW;4 meses 17 minutos 1,211 visitas;00:17:17;https://www.youtube.com/watch?v=SChyIBkkCfg;SChyIBkkCfg;2022-06-15T02:31:32.721327Z;33;0;5;193;Diseño distinto a Logos;3;00:16:59.000017;00:17:00.000018;00:17:00.000018;16.98333333;17;17;1;1;4;00:05:49.000012;00:09:40.000010;00:11:54.000019;00:14:47.000020;;;;;0.3125;5.816666667;9.666666667;11.9;14.78333333;;;;;2022-06-14 00:00:00;Tuesday;1;17.28333333;17;0.292777778;0.30215928;1;0;(0.214, 0.31];(2.0, 4.0];3.0;4;4;3;17.56666667;0.228;0.171;0.966793169;0.967741935;0.967741935;0.331119545;0.55028463;0.677419355;0.841555977;;;;
22;✍🏼APRENDE a CREAR LOGOS SIMPLES 🔑 si haces ESTO ▶ TUTORIAL CorelDRAW;20220517;1518;111.2804;-2;2.354;45699;2.19;✍🏼APRENDE a CREAR LOGOS SIMPLES 🔑 si haces ESTO ▶ TUTORIAL CorelDRAW;5 meses 17 minutos 1,467 visitas;00:17:27;https://www.youtube.com/watch?v=uKd41FnPlhU;uKd41FnPlhU;2022-10-30T23:53:58.969952Z;105;0;5;1467;Logo en CorelDraw;3;00:17:06.000022;00:17:06.000029;00:17:07.000010;17.1;17.1;17.11666667;1;1;3;00:05:01.000005;00:09:51.000022;00:14:49.000006;;;;;;-0.009659091;5.016666667;9.85;14.81666667;;;;;;2022-05-17 00:00:00;Tuesday;1;17.45;27;0.298333333;0.245722614;0;0;(0.214, 0.31];(2.0, 4.0];3.0;10;3;3;17.9;0.168;0.168;0.955307263;0.955307263;0.956238361;0.280260708;0.55027933;0.827746741;;;;;
23;✒️ + 🐧Aprende a COMBINAR CONCEPTOS 😏 para DISEÑAR en CorelDRAW;20211021;1796;89.6495;4;3.343;71595;1;✒️ + 🐧Aprende a COMBINAR CONCEPTOS 😏 para DISEÑAR en CorelDRAW;1 año 12 minutos y 44 segundos 1,799 visitas;00:12:44;https://www.youtube.com/watch?v=RUCx93JLnis;RUCx93JLnis;2022-03-02T10:04:48.695815Z;126;2;4.9375;1630;Diseño distinto a Logos;3;00:12:24;00:12:26.000001;00:12:28.000004;12.4;12.43333333;12.46666667;1;1;4;00:03:07.000004;00:06:21.000015;00:09:08.000006;00:12:06.000013;;;;;0.285291005;3.116666667;6.35;9.133333333;12.1;;;;;2021-10-21 00:00:00;Thursday;3;12.73333333;44;0.224444444;0.222398923;0;0;(0.214, 0.31];(2.0, 4.0];3.0;4;4;3;13.46666667;0.297;0.223;0.920792079;0.923267327;0.925742574;0.231435644;0.471534653;0.678217822;0.898514851;;;;
24;✒️APRENDE a ILUSTRAR ASÍ en CorelDRAW ✍️ TRUCOS & CONSEJOS CLAVE;20210916;1811;142.3578;5;3.227;65215;1.38;✒️APRENDE a ILUSTRAR ASÍ en CorelDRAW ✍️ TRUCOS & CONSEJOS CLAVE ▶ DelcaVideography de DelcaVideography;1 año 19 minutos 1,810 visitas;00:19:54;https://www.youtube.com/watch?v=-klu27TmOyY;-klu27TmOyY;2022-01-20T15:54:08.631675Z;103;2;4.923809524;1483;Consejos CorelDraw;3;00:19:33.000015;00:19:35.000016;00:19:37.000018;19.55;19.58333333;19.61666667;1;1;4;00:04:08.000007;00:07:56.000023;00:10:10.000023;00:16:58;;;;;0.243333333;4.133333333;7.933333333;10.16666667;16.96666667;;;;;2021-09-16 00:00:00;Thursday;3;19.9;54;0.346666667;0.226751795;0;0;;(2.0, 4.0];3.0;2;4;3;20.8;0.192;0.144;0.939903846;0.94150641;0.943108974;0.198717949;0.381410256;0.488782051;0.815705128;;;;
25;✔ Estos son los PASO a PASO para CONSTRUIR LOGOS en CorelDRAW;20211209;4068;256.7454;42;5.862;105678;1.8;✔ Estos son los PASO a PASO para CONSTRUIR LOGOS en CorelDRAW;10 meses 10 minutos y 46 segundos 4,360 visitas;00:10:46;https://www.youtube.com/watch?v=6yA8gjsJws4;6yA8gjsJws4;2022-01-20T07:31:04.305009Z;174;0;5;1931;Logo en CorelDraw;3;00:10:25.000019;00:10:27.000021;00:10:29.000023;10.41666667;10.45;10.48333333;1;1;2;00:04:22.000005;00:05:19.000015;;;;;;;0.296666667;4.366666667;5.316666667;;;;;;;2021-12-09 00:00:00;Thursday;3;10.76666667;46;0.192222222;0.32833572;1;0;(0.169, 0.214];(0.0, 2.0];3.0;10;2;3;11.53333333;0.173;0.26;0.903179191;0.906069364;0.908959538;0.378612717;0.460982659;;;;;;
26;✔✨ Aprende LA TÉCNICA CREATIVA para CREAR LOGOS GRATIS en CorelDRAW ▶ TUTORIAL;20211202;13756;424.2588;317;13.161;581541;0.87;✔✨ Aprende LA TÉCNICA CREATIVA para CREAR LOGOS GRATIS en CorelDRAW ▶ TUTORIAL;10 meses 10 minutos y 58 segundos 13,775 visitas;00:10:58;https://www.youtube.com/watch?v=4oAC_IUKdss;4oAC_IUKdss;2022-01-20T07:49:42.758409Z;633;6;4.962441315;13167;Técnicas CorelDraw;3;00:10:38.000004;00:10:40.000005;00:10:42.000007;10.63333333;10.66666667;10.7;1;1;3;00:03:59;00:07:19.000016;00:10:06.000008;;;;;;0.391452246;3.983333333;7.316666667;10.1;;;;;;2021-12-02 00:00:00;Thursday;3;10.96666667;58;0.198888889;0.155070137;0;0;(0.169, 0.214];(2.0, 4.0];3.0;16;3;3;11.93333333;0.251;0.251;0.891061453;0.893854749;0.896648045;0.333798883;0.613128492;0.846368715;;;;;
27;✔✨ DESCUBRE estas TÉCNICAS para CREAR DISEÑOS orgánicos en ▶ TUTORIAL;20220203;11619;740.5416;180;14.555;443002;1.09;✔✨ DESCUBRE estas TÉCNICAS para CREAR DISEÑOS orgánicos en ▶ TUTORIAL | CorelDRAW DelcaVideography de DelcaVideography;8 meses 31 minutos 11,695 visitas;00:31:20;https://www.youtube.com/watch?v=wKQdpbEgCQk;wKQdpbEgCQk;2022-03-05T23:51:53.969679Z;503;9;4.9296875;10691;Técnicas CorelDraw;3;00:30:59.266667;00:31:01.283333;00:31:03.333333;30.98333333;31.01666667;31.05;1;1;7;00:05:02;00:08:23.000004;00:14:36;00:16:20.000013;00:20:22.000003;00:26:08.100000;00:28:47.150000;;0.416083333;5.033333333;8.383333333;14.6;16.33333333;20.36666667;26.13333333;28.78333333;;2022-02-03 00:00:00;Thursday;3;31.33333333;20;0.527777778;0.120761808;0;0;;(4.0, 8.0];3.0;16;7;3;31.66666667;0.221;0.095;0.978421053;0.979473684;0.980526316;0.158947368;0.264736842;0.461052632;0.515789474;0.643157895;0.825263158;0.908947368;
28;✔✨ Sigue el PROCESO PASO a PASO y APRENDE A CREAR LOGOS en CorelDRAW ► TUTORIAL;20220127;5159;248.5148;31;5.135;262636;0.76;✔✨ Sigue el PROCESO PASO a PASO y APRENDE A CREAR LOGOS en CorelDRAW ► TUTORIAL;9 meses 17 minutos 5,176 visitas;00:17:39;https://www.youtube.com/watch?v=tJh3qoj5uL0;tJh3qoj5uL0;2022-01-27T22:11:52.376328Z;11;0;5;28;Logo en CorelDraw;3;00:17:18.000004;00:17:20.000005;00:17:22.000008;17.3;17.33333333;17.36666667;1;1;6;00:04:30.000023;00:06:11.000002;00:09:04.000022;00:11:36;00:13:55.000004;00:16:56.000005;;;0.179166667;4.5;6.183333333;9.066666667;11.6;13.91666667;16.93333333;;;2022-01-27 00:00:00;Thursday;3;17.65;39;0.305;0.157938093;0;0;(0.214, 0.31];(4.0, 8.0];3.0;10;6;3;18.3;0.328;0.164;0.945355191;0.947176685;0.948998179;0.245901639;0.337887067;0.495446266;0.633879781;0.760473588;0.925318761;;
29;✔✨ Sigue estos MÉTODOS para DISEÑAR tus LOGOS en CorelDRAW ► TUTORIAL;20211123;151522;5615.8654;2090;120.952;7914266;0.71;✔✨ Sigue estos MÉTODOS para DISEÑAR tus LOGOS en CorelDRAW ► TUTORIAL;11 meses 23 minutos 152,083 visitas;00:23:40;https://www.youtube.com/watch?v=UzS9Iar4trA;UzS9Iar4trA;2022-03-19T15:01:14.136549Z;3693;61;4.935002664;151710;Métodos CorelDraw;3;00:23:10.000006;00:23:22.000007;00:23:24.000010;23.16666667;23.36666667;23.4;1;1;5;00:07:25.000002;00:12:42.000023;00:16:21.000020;00:19:35.000001;00:22:32;;;;0.429970238;7.416666667;12.7;16.35;19.58333333;22.53333333;;;;2021-11-23 00:00:00;Tuesday;1;23.66666667;40;0.405555556;0.091388309;0;0;;(4.0, 8.0];3.0;11;5;3;24.33333333;0.205;0.123;0.952054795;0.960273973;0.961643836;0.304794521;0.521917808;0.671917808;0.804794521;0.926027397;;;
30;✔✨ Sigue estos PASOS para CREAR DISEÑOS IMPOSIBLES con CorelDRAW ▶ TUTORIAL;20220308;3184;233.7504;6;4.434;100148;1.34;✔✨ Sigue estos PASOS para CREAR DISEÑOS IMPOSIBLES con CorelDRAW ▶ TUTORIAL;7 meses 18 minutos 3,185 visitas;00:18:28;https://www.youtube.com/watch?v=vg8pGU09qQ4;vg8pGU09qQ4;2022-03-15T02:45:57.457898Z;184;1;4.978378378;2157;Diseño distinto a Logos;3;00:18:07.000008;00:18:09.000009;00:18:11.000011;18.11666667;18.15;18.18333333;1;1;5;00:04:32.000020;00:08:09.000019;00:12:47.000008;00:15:06.000012;00:17:43.000002;;;;0.36128621;4.533333333;8.15;12.78333333;15.1;17.71666667;;;;2022-03-08 00:00:00;Tuesday;1;18.46666667;28;0.315555556;0.232650223;0;0;;(4.0, 8.0];3.0;4;5;3;18.93333333;0.264;0.158;0.956866197;0.958626761;0.960387324;0.23943662;0.430457746;0.675176056;0.797535211;0.935739437;;;
31;✔✨Sigue estos MÉTODOS ESENCIALES para CREAR LOGOS en CorelDRAW ▶ TUTORIAL;20220210;3381;203.4507;20;4.692;148209;0.93;✔✨Sigue estos MÉTODOS ESENCIALES para CREAR LOGOS en CorelDRAW ▶ TUTORIAL;8 meses 16 minutos 3,419 visitas;00:16:49;https://www.youtube.com/watch?v=EncVwqu2W6E;EncVwqu2W6E;2022-02-22T20:03:35.706984Z;176;4;4.911111111;2795;Logo en CorelDraw;3;00:16:19.000007;00:16:31.000009;00:16:33.000011;16.31666667;16.51666667;16.55;1;1;4;00:03:53;00:06:05;00:09:05.000007;00:15:02.000014;;;;;0.336;3.883333333;6.083333333;9.083333333;15.03333333;;;;;2022-02-10 00:00:00;Thursday;3;16.81666667;49;0.293888889;0.204753272;0;0;(0.214, 0.31];(2.0, 4.0];3.0;10;4;3;17.63333333;0.227;0.17;0.925330813;0.936672968;0.938563327;0.220226843;0.344990548;0.515122873;0.852551985;;;;
32;✔💪🏼 Sigue estas TÉCNICAS para CREAR LOGOS en CorelDRAW ▶ TUTORIAL;20220301;1881;111.3451;13;2.608;64399;1.26;✔💪🏼 Sigue estas TÉCNICAS para CREAR LOGOS en CorelDRAW ▶ TUTORIAL;7 meses 12 minutos y 51 segundos 1,915 visitas;00:12:51;https://www.youtube.com/watch?v=X8e-3u0kN_E;X8e-3u0kN_E;2022-03-05T16:39:08.554174Z;96;2;4.918367347;1027;Técnicas CorelDraw;3;00:12:31.000012;00:12:33.000013;00:12:35.000015;12.51666667;12.55;12.58333333;1;1;3;00:04:15.000002;00:08:36.000001;00:11:50.000014;;;;;;0.569704861;4.25;8.6;11.83333333;;;;;;2022-03-01 00:00:00;Tuesday;1;12.85;51;0.228333333;0.259246557;0;0;(0.214, 0.31];(2.0, 4.0];3.0;16;3;3;13.7;0.219;0.219;0.913625304;0.916058394;0.918491484;0.310218978;0.627737226;0.863746959;;;;;
33;✨✔ APLICA TODAS las TÉCNICAS para CREAR LOGOS en CorelDRAW ▶ TUTORIAL;20220405;2338;131.0947;11;2.991;77085;1.51;✨✔ APLICA TODAS las TÉCNICAS para CREAR LOGOS en CorelDRAW ▶ TUTORIAL |DelcaVideography de DelcaVideography;6 meses 11 minutos y 7 segundos 2,340 visitas;00:11:07;https://www.youtube.com/watch?v=34oSrvGeogo;34oSrvGeogo;2022-04-18T12:15:42.951372Z;106;1;4.962616822;1626;Técnicas CorelDraw;3;00:10:57.000008;00:10:57.000014;00:11:06.000018;10.95;10.95;11.1;1;1;3;00:04:17.000011;00:06:45.000008;00:10:20.000016;;;;;;0.437857143;4.283333333;6.75;10.33333333;;;;;;2022-04-05 00:00:00;Tuesday;1;11.11666667;7;0.187222222;0.299490625;1;0;(0.169, 0.214];(2.0, 4.0];3.0;16;3;3;11.23333333;0.267;0.267;0.974777448;0.974777448;0.988130564;0.381305638;0.600890208;0.919881306;;;;;
34;✨✔ APLICA estas TÉCNICAS AVANZADAS para CREAR LOGOS en CorelDRAW ▶ TUTORIAL;20220426;3044;411.7951;23;7.158;60272;3.04;✨✔ APLICA estas TÉCNICAS AVANZADAS para CREAR LOGOS en CorelDRAW ▶ TUTORIAL;6 meses 37 minutos 3,046 visitas;00:37:31;https://www.youtube.com/watch?v=jPTShYN3wYo;jPTShYN3wYo;2022-10-30T23:54:01.595385Z;192;4;4.918367347;3046;Técnicas CorelDraw;3;00:37:12.316667;00:37:13.150000;00:37:29.350000;37.2;37.21666667;37.48333333;1;1;8;00:05:47;00:08:36;00:10:48.000001;00:14:51.000012;00:21:37.000007;00:25:45;00:29:13.016667;00:32:05.183333;0.85;5.783333333;8.6;10.8;14.85;21.61666667;25.75;29.21666667;32.08333333;2022-04-26 00:00:00;Tuesday;1;37.51666667;31;0.633888889;0.213414237;0;1;;(4.0, 8.0];3.0;16;8;3;38.03333333;0.21;0.079;0.978089395;0.978527607;0.985539001;0.152059597;0.226117441;0.283961437;0.390446976;0.568361087;0.677037686;0.768185802;0.843558282
35;✨✔ ARMONIZA tus DISEÑOS si usas estas TÉCNICAS para CREAR LOGOS en CorelDRAW;20220224;4511;238.5745;27;4.017;183306;0.88;✨✔ ARMONIZA tus DISEÑOS si usas estas TÉCNICAS para CREAR LOGOS en CorelDRAW;8 meses 24 minutos 4,547 visitas;00:24:43;https://www.youtube.com/watch?v=FhNdnP77p4M;FhNdnP77p4M;2022-03-05T12:43:23.073028Z;144;3;4.918367347;3737;Técnicas CorelDraw;3;00:24:23.200000;00:24:25.216667;00:24:27.250000;24.38333333;24.41666667;24.45;1;1;4;00:05:10.000017;00:09:04.000008;00:15:06;00:24:19.283333;;;;;0.85;5.166666667;9.066666667;15.1;24.31666667;;;;;2022-02-24 00:00:00;Thursday;3;24.71666667;43;0.423888889;0.124766836;0;0;;(2.0, 4.0];3.0;16;4;3;25.43333333;0.157;0.118;0.958715596;0.960026212;0.961336828;0.203145478;0.356487549;0.593709043;0.956094364;;;;
36;✨✔ CONOCE el PASO a PASO para CREAR este LOGO en CorelDRAW ▶ TUTORIAL;20220322;2699;242.7542;18;5.003;80750;1.6;✨✔ CONOCE el PASO a PASO para CREAR este LOGO en CorelDRAW ▶ TUTORIAL | DelcaVideography (2022) de DelcaVideography;7 meses 23 minutos 2,701 visitas;00:23:30;https://www.youtube.com/watch?v=zCs2HPG-wQU;zCs2HPG-wQU;2022-03-29T02:21:21.848082Z;103;2;4.923809524;1232;Logo en CorelDraw;3;00:23:09.000023;00:23:12;00:23:14.000002;23.15;23.2;23.23333333;1;1;5;00:03:40.000016;00:08:36.000012;00:12:45.000016;00:16:03.000013;00:20:11.000011;;;;0.50244709;3.666666667;8.6;12.75;16.05;20.18333333;;;;2022-03-22 00:00:00;Tuesday;1;23.5;30;0.4;0.224855687;0;0;;(4.0, 8.0];3.0;10;5;3;24;0.208;0.125;0.964583333;0.966666667;0.968055556;0.152777778;0.358333333;0.53125;0.66875;0.840972222;;;
37;✨✔ DISEÑA como un PROFESIONAL si SIGUES estos PASOS en CorelDRAW;20220331;2458;160.598;13;3.782;89996;1.2;✨✔ DISEÑA como un PROFESIONAL si SIGUES estos PASOS en CorelDRAW ▶ TUTORIAL;6 meses 16 minutos 2,459 visitas;00:16:35;https://www.youtube.com/watch?v=9TqoaxoutJA;9TqoaxoutJA;2022-04-15T04:44:11.649467Z;147;0;5;1852;Diseño distinto a Logos;3;00:16:14.000022;00:16:15.000009;00:16:15.000018;16.23333333;16.25;16.25;1;1;3;00:04:13.000012;00:10:05;00:15:16;;;;;;0.355333333;4.216666667;10.08333333;15.26666667;;;;;;2022-03-31 00:00:00;Thursday;3;16.58333333;35;0.286111111;0.228361838;0;0;(0.214, 0.31];(2.0, 4.0];3.0;4;3;3;17.16666667;0.175;0.175;0.945631068;0.946601942;0.946601942;0.245631068;0.587378641;0.889320388;;;;;
38;✨✔ Te ENSEÑO estas TÉCNICAS para que DISEÑES como un PRO ▶ TUTORIAL CorelDRAW;20220504;1760;116.1147;4;2.329;57665;2.04;✨✔ Te ENSEÑO estas TÉCNICAS para que DISEÑES como un PRO ▶ TUTORIAL CorelDRAW;5 meses 19 minutos 1,742 visitas;00:19:57;https://www.youtube.com/watch?v=ghc_2Ljua5A;ghc_2Ljua5A;2022-10-30T23:54:01.774266Z;118;0;5;1742;Diseño distinto a Logos;3;00:19:36.000014;00:19:36.000019;00:19:37.000005;19.6;19.6;19.61666667;1;1;5;00:05:09.000003;00:07:12.000009;00:10:54.000002;00:14:51;00:18:45;;;;0.305537796;5.15;7.2;10.9;14.85;18.75;;;;2022-05-04 00:00:00;Wednesday;2;19.95;57;0.348333333;0.189399793;0;0;;(4.0, 8.0];3.0;4;5;3;20.9;0.239;0.144;0.937799043;0.937799043;0.938596491;0.246411483;0.344497608;0.5215311;0.710526316;0.897129187;;;
39;⭐ 5 HERRAMIENTAS INDISPENSABLES para DISEÑAR LOGOS en CorelDRAW ▶ TUTORIAL;20220802;1880;166.404;8;3.277;47688;2.58;⭐ 5 HERRAMIENTAS INDISPENSABLES para DISEÑAR LOGOS en CorelDRAW ▶ TUTORIAL;2 meses 19 minutos 1,757 visitas;00:19:49;https://www.youtube.com/watch?v=b9_XfrLRhbk;b9_XfrLRhbk;2022-08-05T03:51:23.784249Z;74;0;5;797;Herramientas CorelDraw;3;00:19:29.000011;00:19:30.000015;00:19:30.000020;19.48333333;19.5;19.5;1;1;4;00:04:00.000012;00:08:55.000006;00:14:50.000001;00:18:27.000005;;;;;0.161212121;4;8.916666667;14.83333333;18.45;;;;;2022-08-02 00:00:00;Tuesday;1;19.81666667;49;0.343888889;0.257387688;0;0;;(2.0, 4.0];3.0;7;4;3;20.63333333;0.194;0.145;0.944264943;0.945072698;0.945072698;0.193861066;0.432148627;0.718901454;0.894184168;;;;
40;⭐ 7 HERRAMIENTAS que DEBES CONOCER para DISEÑAR en CorelDRAW TUTORIAL DelcaVideography de DelcaVideography;20220726;1032;88.8506;2;1.771;27305;2.3;⭐ 7 HERRAMIENTAS que DEBES CONOCER para DISEÑAR en CorelDRAW TUTORIAL DelcaVideography de DelcaVideography;3 meses 16 minutos 1,005 visitas;00:16:19;https://www.youtube.com/watch?v=yS4dxKwYzY8;yS4dxKwYzY8;2022-07-29T00:38:08.645047Z;67;0;5;590;Herramientas CorelDraw;3;00:15:59.000009;00:16:00.000013;00:16:00.000018;15.98333333;16;16;1;1;3;00:04:50.000015;00:09:49.000009;00:12:54.000009;;;;;;1;4.833333333;9.816666667;12.9;;;;;;2022-07-26 00:00:00;Tuesday;1;16.31666667;19;0.277222222;0.310565084;1;0;(0.214, 0.31];(2.0, 4.0];3.0;7;3;3;16.63333333;0.18;0.18;0.960921844;0.961923848;0.961923848;0.290581162;0.590180361;0.775551102;;;;;
41;⭐ 7 TÉCNICAS y CONSEJOS para DISEÑAR en CorelDRAW ▶ TUTORIAL;20220719;1750;153.9714;13;3.521;41264;2.68;⭐ 7 TÉCNICAS y CONSEJOS para DISEÑAR en CorelDRAW ▶ TUTORIAL;3 meses 16 minutos 1,706 visitas;00:16:26;https://www.youtube.com/watch?v=zdRd8ybbfXU;zdRd8ybbfXU;2022-07-20T06:43:27.32788Z;46;0;5;303;Técnicas CorelDraw;3;00:16:07;00:16:08.000005;00:16:08.000009;16.11666667;16.13333333;16.13333333;1;1;3;00:04:40.000003;00:10:01.000008;00:14:24;;;;;;0.403888889;4.666666667;10.01666667;14.4;;;;;;2022-07-19 00:00:00;Tuesday;1;16.43333333;26;0.281111111;0.312985342;1;0;(0.214, 0.31];(2.0, 4.0];3.0;16;3;3;16.86666667;0.178;0.178;0.955533597;0.956521739;0.956521739;0.276679842;0.593873518;0.853754941;;;;;
42;⭐ 7 TIPS INDISPENSABLES para DISEÑAR en CorelDRAW ▶ TUTORIAL;20220816;1328;131.4338;3;2.196;30348;2.62;⭐ 7 TIPS INDISPENSABLES para DISEÑAR en CorelDRAW ▶ TUTORIAL;2 meses 22 minutos 1,185 visitas;00:22:29;https://www.youtube.com/watch?v=5lzcNprr2R8;5lzcNprr2R8;2022-10-30T23:53:12.545469Z;100;0;5;1185;Tips CorelDraw;3;00:22:09.000004;00:22:10.000008;00:22:10.000013;22.15;22.16666667;22.16666667;1;1;4;00:04:09.000003;00:09:15.000008;00:15:01.000012;00:19:18.000017;;;;;0.530555556;4.15;9.25;15.01666667;19.3;;;;;2022-08-16 00:00:00;Tuesday;1;22.48333333;29;0.382777778;0.258560556;0;0;;(2.0, 4.0];3.0;14;4;3;22.96666667;0.174;0.131;0.964441219;0.965166909;0.965166909;0.180696662;0.40275762;0.653846154;0.840348331;;;;
