Contenido;Título del vídeo;Hora de publicación del vídeo;Clics por elemento de pantalla final mostrado (%);Elementos de pantalla final mostrados;Clics en elementos de pantalla final;Clics en teaser por teaser de tarjeta mostrado (%);Teasers de tarjeta mostrados;Clics en teaser de tarjeta;Clics por tarjeta mostrada (%);Tarjetas mostradas;Clics en tarjetas;Me gusta (vs. No me gusta) (%);No me gusta;Me gusta;Mostrado en el feed;Vistos (frente a saltados) (%);Comentarios añadidos;Compartido;RPM (USD);Ingresos estimados (USD);Suscriptores perdidos;Suscriptores ganados;Porcentaje medio visto (%);Visualizaciones;Tiempo de visualización (horas);Duración media de las visualizaciones;Impresiones;Porcentaje de clics de las impresiones (%)
4QfQjGVMUqA;⚡ HAZLO SIMPLE [Diseño de LOGOS] ▶ Short | DelcaVideography;Jun 23, 2022;0;2;0;;0;0;;0;0;;0;0;0;;0;0;0;0;0;0;56.52;4;0.0446;0:00:40;82;2.44
4UmXw86JvzU;🚀 LITTLE MONSTER SPEEDRUN TUTORIAL in COREL DRAW | DelcaVideography;Dec 10, 2019;0;9;0;0;14;0;;0;0;;0;0;0;;0;0;8,833;0.054;0;0;61.05;8;0.8493;0:06:22;62;4.84
4aIJmmpUBjY;♥️ Nuevo LOGO + nuevo Tutorial👏 》 LoveSick | DelcaVideography;Oct 1, 2021;;0;0;;0;0;;0;0;;0;0;1;0;0;0;;0;0;0;;0;0;;58;0
4fvtc51Tn3c;Cómo CREAR video ANIMACIONES en Vegas Pro | DelcaVideography;Nov 19, 2019;;0;0;0;1;0;;0;0;;0;0;0;;0;0;0.235;0.004;0;0;13.3;21;10,455;0:02:59;114;9.65
4oAC_IUKdss;✔✨ Aprende LA TÉCNICA CREATIVA para CREAR LOGOS GRATIS en CorelDRAW ▶ TUTORIAL | DelcaVideography;Dec 2, 2021;;0;0;0;3;0;;0;0;;0;0;0;;0;0;6;0.046;0;0;39.79;10;0.7272;0:04:21;239;4.18
4q2V-AY2EYo;🤯 Nueva SERIE en DelcaVideography ▶ LOGOS EXPRESS ›› Parte 1 ‹‹ SHORTS;Jul 30, 2021;;0;0;;0;0;;0;0;;0;0;1;100;0;0;0;0;0;0;19.83;1;0.0033;0:00:11;21;0
4vw6b1iTE3I;Cómo crear una Composición en Corel DRAW | DelcaVideography;May 29, 2018;0;8;0;0;9;0;;0;0;100;0;1;0;;0;1;1,111;0.031;0;0;31.6;22;16,378;0:04:28;239;4.18
5i5xOm8DyII;⚡ CorelDRAW ›NEW YORK CITY‹ 🗽 Retro NEON Design TUTORIAL ▶ DelcaVideography;Sep 7, 2021;0;3;0;;0;0;;0;0;100;0;2;0;;0;0;0.8;0.006;0;0;37.8;6;0.7076;0:07:04;181;2.76
5lzcNprr2R8;⭐ 7 TIPS INDISPENSABLES para DISEÑAR en CorelDRAW ▶ TUTORIAL | DelcaVideography;Aug 16, 2022;0;9;0;0;6;0;;0;0;;0;0;0;;0;0;0.588;0.01;0;0;34.8;17;22,171;0:07:49;263;2.66
5tssegaC3Z8;(INTERMEDIO) LOGO NEÓN COREL DRAW X7 X8 TUTORIAL;Sep 27, 2016;;0;0;0;2;0;;0;0;100;0;1;0;;0;0;5.8;0.034;0;0;26.71;8;0.5395;0:04:02;174;3.45
5x6LzuCMofo;💔 BROKEN HEART 💔 LOGO TUTORIAL COREL DRAW (BÁSICO);Jul 18, 2017;0;9;0;0;32;0;;0;0;;0;0;0;;0;0;0.286;0.004;0;0;58.45;15;19,191;0:07:40;143;1.4
64COMqKhPds;🐱‍👤Con estos MÉTODOS PRÁCTICOS 🧐 puedes DISEÑAR LOGOS Fácilmente en CorelDRAW | DelcaVideography;Oct 28, 2021;;0;0;;0;0;;0;0;;0;0;0;;0;0;0;0.001;0;0;11.95;5;0.0851;0:01:01;103;1.94
67Ta2UltQK0;😜 Te enseño el BORRADOR de un archivo de CorelDRAW | DelcaVideography;Sep 21, 2021;;0;0;;0;0;;0;0;100;0;1;31;51.61;0;0;0;0;0;2;41.71;17;0.1162;0:00:24;459;1.96
6LsMgi-fDZQ;⚡️ 5 EFECTOS CINEMÁTICOS ESENCIALES (HITFILM): TUTORIAL VEGAS PRO ʜᴅ;Oct 10, 2017;0;3;0;0;5;0;;0;0;;0;0;0;;0;0;0.111;0.001;0;0;12.27;12;0.2474;0:01:14;138;4.35
6Qel8vI6_ag;✅  Cómo hacer MOTION GRAPHIC ANIMATION en VEGAS PRO ► INTRO para tus VÍDEOS 🤟🏼DelcaVideography;Jan 29, 2019;0;8;0;0;64;0;;0;0;-100;-2;1;0;;1;3;1,485;0.298;0;2;12.58;219;102,966;0:02:49;3892;4.24
6jotSuqAjHc;CREA UNA INTRO Profesional: SONY VEGAS PRO 10, 11, 12, 13;Feb 5, 2015;;0;0;;0;0;;0;0;;0;0;0;;0;0;0.25;0.002;0;0;2.76;8;0.1305;0:00:58;133;2.26
6my2PObwnlY;⚡ DIBUJAR en CorelDRAW ▶ Short | DelcaVideography;Jul 9, 2022;0;2;0;;0;0;;0;0;;0;0;0;;0;0;0;0;0;0;31.13;1;0.0061;0:00:22;88;1.14
6naaK-WHF2M;🎱🥌 La MEJOR FORMA de APLICAR TEXTURAS 3D ⚙ a LOGOS en CorelDRAW | DelcaVideography;Nov 2, 2021;0;12;0;0;27;0;;0;0;100;0;1;0;;0;0;1,292;0.031;0;0;39.04;25;19,305;0:04:37;321;6.23
6uIbRw4d6T4;Cómo aplicar CÁMARA LENTA a tus vídeos en Vegas Pro (SLOW MOTION) | DelcaVideography;Jul 10, 2018;0;12;0;0;40;0;;0;0;100;0;1;0;;0;0;0.578;0.049;0;0;19.76;88;35,977;0:02:27;572;12.76
6yA8gjsJws4;✔ Estos son los PASO a PASO para CONSTRUIR LOGOS en CorelDRAW | DelcaVideography;Dec 9, 2021;0;62;0;0;90;0;;0;0;100;0;1;0;;1;0;1,843;0.338;0;0;34.58;200;124,094;0:03:43;1665;4.2
7600RPZDWbU;STAR WARS Lucasfilm INTRO tutorial - Vegas Pro | DelcaVideography;May 28, 2019;0;3;0;0;5;0;;0;0;;0;0;0;;0;0;0.154;0.004;0;0;10.29;15;0.4558;0:01:49;112;10.71
7HXsIyciyG0;✅ USA estas TÉCNICAS de DIBUJO para DISEÑAR como PRO 😎 en CorelDRAW ► TUTORIAL | DelcaVideography;Nov 17, 2021;0;9;0;0;13;0;;0;0;;0;0;0;;0;0;2,077;0.027;0;0;26.38;14;0.5591;0:02:23;135;5.93
7nF_xuJXP2Y;CorelDRAW MAGIC ››Text EFFECT‹‹ 🌟 TIPS Tutorial ▶ DelcaVideography;Sep 2, 2021;;0;0;;0;0;;0;0;;0;0;0;;0;0;0;0;0;0;1.31;1;0.0015;0:00:05;103;0
7zv_dRp9GRQ;💚 CorelDRAW EASIEST Techniques for Beginners & Experts (💗+🎀) ▶ LOGO Tutorial | DelcaVideography;Jul 21, 2021;0;6;0;;0;0;;0;0;;0;0;0;;0;0;5,375;0.043;0;0;30.71;8;0.3856;0:02:53;92;7.61
82820PmkxKE;LOGO ÁRBOL NEÓN / NEON TREE TUTORIAL: COREL DRAW 🌴;Dec 4, 2017;;0;0;0;5;0;;0;0;;0;0;0;;0;0;0.5;0.004;0;0;8.35;10;0.3883;0:02:19;219;3.2
87G3DTYx9zU;(AVANZADO) 💥 SUNFLAME PROFESIONAL LOGO TUTORIAL: COREL DRAW;May 2, 2017;0;3;0;0;5;0;;0;0;;0;0;0;;0;0;0;0;0;0;50.02;2;0.2854;0:08:33;46;4.35
8Kjxeq20oKs;💚 Esta Es TODA La LISTA De FORMAS BÁSICAS en CorelDRAW  @DelcaX;Dec 6, 2022;;0;0;;0;0;;0;0;;0;0;2;50;0;0;0;0;0;0;76.32;2;0.0225;0:00:40;121;0.83
8L6ahg2eHBc;🖱 EFECTO de PROYECCIÓN BÁSICA ▶ Tips para DISEÑAR en CorelDRAW | DelcaVideography;Sep 21, 2021;0;3;0;;0;0;;0;0;;0;0;0;;0;0;0.5;0.001;0;0;75.08;2;0.1748;0:05:14;123;0.81
8NdzbkCYcwo;🤘🏼 LOGO MAPACHE WIFI #shorts  ▶ Tutorial CorelDRAW | @DelcaX;Sep 24, 2022;;0;0;;0;0;;0;0;;;;0;;;;;0;;;;0;0;;115;0
8XII3TlbnjM;NEUMORFISMO | NUEVA TENDENCIA DE DISEÑO | Adobe Illustrator TUTORIAL | DelcaVideography;Apr 7, 2020;;0;0;;0;0;;0;0;;0;0;0;;0;0;3;0.006;0;0;52.19;3;0.4684;0:09:22;68;2.94
8ZKIBOf72I0;🌟 Conoce la Nueva COLABORACIÓN de TRABAJO REMOTO en CorelDRAW 2021 ▶ DelcaVideography;Apr 6, 2021;;0;0;0;1;0;;0;0;;0;0;0;;0;0;0.333;0.002;0;0;33.1;6;0.1832;0:01:49;240;0.83
8_ScePbIx9A;MARVEL THE AVENGERS | How to create the WIPE OUT EFFECT | DelcaVideography;Apr 9, 2019;0;4;0;0;5;0;;0;0;;0;0;0;;0;0;4.4;0.022;0;0;20.45;5;0.2969;0:03:33;41;2.44
8iGjHpBpxQ4;(INTERMEDIO) ASUS LOGO COREL DRAW TUTORIAL;Apr 18, 2017;0;3;0;0;5;0;;0;0;;0;0;0;;0;0;0.2;0.001;0;0;21.2;5;0.6008;0:07:12;114;1.75
8lb0Vv7w5BU;🔴 Cómo funciona la PERSPECTIVA de 1 punto de fuga ▷ Tutorial CorelDRAW 2021;Apr 25, 2021;;0;0;;0;0;;0;0;;0;0;0;;0;0;1.5;0.006;0;0;9.47;4;0.0423;0:00:38;109;1.83
8okxEyrHamU;Te muestro Cómo Crear este LOGOTIPO 🏋🏼‍♂️ [ORIGINAL⚡ ] Paso a Paso (FÁCIL!!!) ▶ Corel DRAW;Apr 19, 2016;;0;0;0;4;0;;0;0;100;0;1;0;;0;0;0;0;0;0;29.14;3;0.2586;0:05:10;70;2.86
9DTxDa4rvUA;❎ La MEJOR GUÍA para CREAR el LOGO de XBOX [*PASO a PASO* 🎮] ▶ Corel DRAW;Oct 11, 2016;;0;0;;0;0;;0;0;;0;0;0;;0;0;2,556;0.023;0;0;8.79;10;0.3661;0:02:11;165;1.21
9ECLhtcc-PI;CÓMO CREAR UNA COMPOSICIÓN CON TEXTO EN COREL DRAW | DelcaVideography;Jan 15, 2019;;0;0;0;16;0;;0;0;100;0;1;0;;0;0;0.935;0.03;0;1;24.36;34;20,246;0:03:34;541;2.03
